ISO 3166-1 numeric code,Continents,Region,Country,2021,2022
108,Africa,Eastern Africa,Burundi,12305,12675
174,Africa,Eastern Africa,Comoros,888,907
262,Africa,Eastern Africa,Djibouti,1014,1028
232,Africa,Eastern Africa,Eritrea,5555,5679
231,Africa,Eastern Africa,Ethiopia,115403,118065
404,Africa,Eastern Africa,Kenya,54781,56082
450,Africa,Eastern Africa,Madagascar,28426,29175
454,Africa,Eastern Africa,Malawi,20859,21445
480,Africa,Eastern Africa,Mauritius,1276,1279
175,Africa,Eastern Africa,Mayotte,280,287
508,Africa,Eastern Africa,Mozambique,33230,34170
638,Africa,Eastern Africa,Réunion,903,910
646,Africa,Eastern Africa,Rwanda,13379,13670
690,Africa,Eastern Africa,Seychelles,96,97
706,Africa,Eastern Africa,Somalia,16589,17088
728,Africa,Eastern Africa,South Sudan,13960,14314
800,Africa,Eastern Africa,Uganda,48698,50243
834,Africa,Eastern Africa,United Republic of Tanzania,64674,66612
894,Africa,Eastern Africa,Zambia,19235,19804
716,Africa,Eastern Africa,Zimbabwe,18060,18437
24,Africa,Middle Africa,Angola,33894,34988
120,Africa,Middle Africa,Cameroon,26614,27280
140,Africa,Middle Africa,Central African Republic,5023,5132
148,Africa,Middle Africa,Chad,16766,17256
178,Africa,Middle Africa,Congo,5834,5984
180,Africa,Middle Africa,Democratic Republic of the Congo,92336,95220
226,Africa,Middle Africa,Equatorial Guinea,1452,1498
266,Africa,Middle Africa,Gabon,2194,2238
678,Africa,Middle Africa,Sao Tome and Principe,223,227
12,Africa,Northern Africa,Algeria,43969,44584
818,Africa,Northern Africa,Egypt,104692,106416
434,Africa,Northern Africa,Libya,6746,6823
504,Africa,Northern Africa,Morocco,37498,37914
729,Africa,Northern Africa,Sudan,44592,45666
788,Africa,Northern Africa,Tunisia,12019,12129
732,Africa,Northern Africa,Western Sahara,612,626
72,Africa,Southern Africa,Botswana,2456,2497
426,Africa,Southern Africa,Lesotho,2352,2381
516,Africa,Southern Africa,Namibia,2751,2806
710,Africa,Southern Africa,South Africa,59366,59996
748,Africa,Southern Africa,Swaziland,1463,1486
204,Africa,Western Africa,Benin,12450,12782
854,Africa,Western Africa,Burkina Faso,21497,22102
132,Africa,Western Africa,Cabo Verde,574,581
384,Africa,Western Africa,Côte d'Ivoire,26828,27498
270,Africa,Western Africa,Gambia,2360,2427
288,Africa,Western Africa,Ghana,31374,32018
324,Africa,Western Africa,Guinea,14110,14475
624,Africa,Western Africa,Guinea-Bissau,2048,2096
430,Africa,Western Africa,Liberia,5232,5363
466,Africa,Western Africa,Mali,20893,21515
478,Africa,Western Africa,Mauritania,4908,5033
562,Africa,Western Africa,Niger,25006,25972
566,Africa,Western Africa,Nigeria,211447,216844
654,Africa,Western Africa,Saint Helena,4,4
686,Africa,Western Africa,Senegal,17663,18132
694,Africa,Western Africa,Sierra Leone,8211,8376
768,Africa,Western Africa,Togo,8585,8787
156,Asia,Eastern Asia,China,1428481,1431850
344,Asia,Eastern Asia,"China, Hong Kong SAR",7598,7643
446,Asia,Eastern Asia,"China, Macao SAR",662,672
158,Asia,Eastern Asia,"China, Taiwan Province of China",23873,23923
408,Asia,Eastern Asia,Dem. People's Republic of Korea,25951,26057
392,Asia,Eastern Asia,Japan,126109,125697
496,Asia,Eastern Asia,Mongolia,3251,3291
410,Asia,Eastern Asia,Republic of Korea,51667,51817
398,Asia,Eastern Asia,Kazakhstan,18957,19130
417,Asia,Eastern Asia,Kyrgyzstan,6382,6459
762,Asia,Eastern Asia,Tajikistan,9657,9836
795,Asia,Eastern Asia,Turkmenistan,6117,6200
860,Asia,Eastern Asia,Uzbekistan,33649,34046
