record_key,country_id,mid_year,population
11955,1,1955,610834
11956,1,1956,619598
11957,1,1957,628551
11958,1,1958,637854
11959,1,1959,647556
11960,1,1960,657686
11961,1,1961,668335
11962,1,1962,679732
11963,1,1963,692280
11964,1,1964,706461
11965,1,1965,722562
11966,1,1966,740746
11967,1,1967,760771
11968,1,1968,782009
11969,1,1969,803577
11970,1,1970,824788
11971,1,1971,845482
11972,1,1972,865687
11973,1,1973,885146
11974,1,1974,903614
11975,1,1975,920945
11976,1,1976,937018
11977,1,1977,951927
11978,1,1978,966040
11979,1,1979,979881
11980,1,1980,993877
11981,1,1981,1008000
11982,1,1982,1022253
11983,1,1983,1037124
11984,1,1984,1053211
11985,1,1985,1070863
11986,1,1986,1090348
11987,1,1987,1111342
11988,1,1988,1132866
11989,1,1989,1153566
11990,1,1990,1172445
11991,1,1991,1189184
11992,1,1992,1204004
11993,1,1993,1217129
11994,1,1994,1228992
11995,1,1995,1239940
11996,1,1996,1249981
11997,1,1997,1259067
11998,1,1998,1267442
11999,1,1999,1275407
12000,1,2000,1283199
12001,1,2001,1290938
12002,1,2002,1298647
12003,1,2003,1306344
12004,1,2004,1314007
12005,1,2005,1321623
12006,1,2006,1329209
12007,1,2007,1336801
12008,1,2008,1344415
12009,1,2009,1352068
12010,1,2010,1359755
12011,1,2011,1367480
12012,1,2012,1375199
12013,1,2013,1382793
12014,1,2014,1390110
12015,1,2015,1397029
12016,1,2016,1403500
12017,1,2017,1409517
12018,1,2018,1415046
12019,1,2019,1420062
12020,1,2020,1424548
12021,1,2021,1428481
21955,2,1955,409269
21956,2,1956,416729
21957,2,1957,424461
21958,2,1958,432482
21959,2,1959,440814
21960,2,1960,449481
21961,2,1961,458495
21962,2,1962,467853
21963,2,1963,477528
21964,2,1964,487485
21965,2,1965,497702
21966,2,1966,508162
21967,2,1967,518890
21968,2,1968,529967
21969,2,1969,541505
21970,2,1970,553579
21971,2,1971,566225
21972,2,1972,579412
21973,2,1973,593059
21974,2,1974,607050
21975,2,1975,621302
21976,2,1976,635772
21977,2,1977,650485
21978,2,1978,665502
21979,2,1979,680916
21980,2,1980,696784
21981,2,1981,713118
21982,2,1982,729868
21983,2,1983,746949
21984,2,1984,764245
21985,2,1985,781667
21986,2,1986,799181
21987,2,1987,816793
21988,2,1988,834489
21989,2,1989,852270
21990,2,1990,870133
21991,2,1991,888055
21992,2,1992,906021
21993,2,1993,924058
21994,2,1994,942204
21995,2,1995,960483
21996,2,1996,978893
21997,2,1997,997405
21998,2,1998,1015974
21999,2,1999,1034539
22000,2,2000,1053051
22001,2,2001,1071478
22002,2,2002,1089807
22003,2,2003,1108028
22004,2,2004,1126136
22005,2,2005,1144119
22006,2,2006,1161978
22007,2,2007,1179681
22008,2,2008,1197147
22009,2,2009,1214270
22010,2,2010,1230981
22011,2,2011,1247236
22012,2,2012,1263066
22013,2,2013,1278562
22014,2,2014,1293859
22015,2,2015,1309054
22016,2,2016,1324171
22017,2,2017,1339180
22018,2,2018,1354052
22019,2,2019,1368738
22020,2,2020,1383198
22021,2,2021,1397423
31955,3,1955,77328
31956,3,1956,79227
31957,3,1957,81231
31958,3,1958,83332
