mid_year,population,country_name
1990-01-01,1172445000,China
1991-01-01,1189184000,China
1992-01-01,1204004000,China
1993-01-01,1217129000,China
1994-01-01,1228992000,China
1995-01-01,1239940000,China
1996-01-01,1249981000,China
1997-01-01,1259067000,China
1998-01-01,1267442000,China
1999-01-01,1275407000,China
2000-01-01,1283199000,China
2001-01-01,1290938000,China
2002-01-01,1298647000,China
2003-01-01,1306344000,China
2004-01-01,1314007000,China
2005-01-01,1321623000,China
2006-01-01,1329209000,China
2007-01-01,1336801000,China
2008-01-01,1344415000,China
2009-01-01,1352068000,China
2010-01-01,1359755000,China
2011-01-01,1367480000,China
2012-01-01,1375199000,China
2013-01-01,1382793000,China
2014-01-01,1390110000,China
2015-01-01,1397029000,China
2016-01-01,1403500000,China
2017-01-01,1409517000,China
2018-01-01,1415046000,China
2019-01-01,1420062000,China
2020-01-01,1424548000,China
2021-01-01,1428481000,China
2022-01-01,1431850000,China
1990-01-01,870133000,India
1991-01-01,888055000,India
1992-01-01,906021000,India
1993-01-01,924058000,India
1994-01-01,942204000,India
1995-01-01,960483000,India
1996-01-01,978893000,India
1997-01-01,997405000,India
1998-01-01,1015974000,India
1999-01-01,1034539000,India
2000-01-01,1053051000,India
2001-01-01,1071478000,India
2002-01-01,1089807000,India
2003-01-01,1108028000,India
2004-01-01,1126136000,India
2005-01-01,1144119000,India
2006-01-01,1161978000,India
2007-01-01,1179681000,India
2008-01-01,1197147000,India
2009-01-01,1214270000,India
2010-01-01,1230981000,India
2011-01-01,1247236000,India
2012-01-01,1263066000,India
2013-01-01,1278562000,India
2014-01-01,1293859000,India
2015-01-01,1309054000,India
2016-01-01,1324171000,India
2017-01-01,1339180000,India
2018-01-01,1354052000,India
2019-01-01,1368738000,India
2020-01-01,1383198000,India
2021-01-01,1397423000,India
2022-01-01,1411415000,India
1990-01-01,181437000,Indonesia
1991-01-01,184616000,Indonesia
1992-01-01,187766000,Indonesia
1993-01-01,190880000,Indonesia
1994-01-01,193945000,Indonesia
1995-01-01,196958000,Indonesia
1996-01-01,199915000,Indonesia
1997-01-01,202826000,Indonesia
1998-01-01,205716000,Indonesia
1999-01-01,208613000,Indonesia
2000-01-01,211540000,Indonesia
2001-01-01,214507000,Indonesia
2002-01-01,217508000,Indonesia
2003-01-01,220545000,Indonesia
2004-01-01,223615000,Indonesia
2005-01-01,226713000,Indonesia
2006-01-01,229838000,Indonesia
2007-01-01,232989000,Indonesia
2008-01-01,236159000,Indonesia
2009-01-01,239340000,Indonesia
2010-01-01,242524000,Indonesia
2011-01-01,245708000,Indonesia
2012-01-01,248883000,Indonesia
2013-01-01,252032000,Indonesia
2014-01-01,255131000,Indonesia
2015-01-01,258162000,Indonesia
2016-01-01,261115000,Indonesia
2017-01-01,263991000,Indonesia
2018-01-01,266795000,Indonesia
2019-01-01,269536000,Indonesia
2020-01-01,272223000,Indonesia
2021-01-01,274854000,Indonesia
2022-01-01,277425000,Indonesia
1990-01-01,252530000,United States of America
1991-01-01,254975000,United States of America
1992-01-01,257454000,United States of America
1993-01-01,260020000,United States of America
1994-01-01,262742000,United States of America
1995-01-01,265659000,United States of America
1996-01-01,268803000,United States of America
1997-01-01,272137000,United States of America
1998-01-01,275543000,United States of America
1999-01-01,278862000,United States of America
2000-01-01,281983000,United States of America
2001-01-01,284852000,United States of America
2002-01-01,287507000,United States of America
2003-01-01,290028000,United States of America
2004-01-01,292539000,United States of America
2005-01-01,295130000,United States of America
2006-01-01,297827000,United States of America
2007-01-01,300595000,United States of America
2008-01-01,303374000,United States of America
2009-01-01,306076000,United States of America
2010-01-01,308641000,United States of America
2011-01-01,311051000,United States of America
2012-01-01,313335000,United States of America
2013-01-01,315537000,United States of America
2014-01-01,317719000,United States of America
2015-01-01,319929000,United States of America
2016-01-01,322180000,United States of America
2017-01-01,324459000,United States of America
2018-01-01,326767000,United States of America
2019-01-01,329093000,United States of America
2020-01-01,331432000,United States of America
2021-01-01,333783000,United States of America
2022-01-01,336150000,United States of America
