Rank,Continents,Region,Country,2022 Population,Category,Year
1,Asia,Eastern Asia,China,1431850000,Greater Than 500M,2022-01-01
2,Asia,Southern Asia,India,1411415000,Greater Than 500M,2022-01-01
3,Northern America,Northern America,United States of America,336150000,250M - 500M,2022-01-01
4,Asia,South-Eastern Asia,Indonesia,277425000,250M - 500M,2022-01-01
5,Africa,Western Africa,Nigeria,216844000,150M - 250M,2022-01-01
6,Latin America and the Caribbean,South America,Brazil,216636000,150M - 250M,2022-01-01
7,Asia,Southern Asia,Pakistan,215824000,150M - 250M,2022-01-01
8,Asia,Southern Asia,Bangladesh,173229000,150M - 250M,2022-01-01
9,Europe,Eastern Europe,Russian Federation,143442000,100M - 150M,2022-01-01
10,Latin America and the Caribbean,Central America,Mexico,136869000,100M - 150M,2022-01-01
11,Asia,Eastern Asia,Japan,125697000,100M - 150M,2022-01-01
12,Africa,Eastern Africa,Ethiopia,118065000,100M - 150M,2022-01-01
13,Asia,South-Eastern Asia,Philippines,112902000,100M - 150M,2022-01-01
14,Africa,Northern Africa,Egypt,106416000,100M - 150M,2022-01-01
15,Asia,South-Eastern Asia,Viet Nam,100195000,100M - 150M,2022-01-01
16,Africa,Middle Africa,Democratic Republic of the Congo,95220000,30M - 100M,2022-01-01
17,Asia,Western Asia,Turkey,85019000,30M - 100M,2022-01-01
18,Asia,Southern Asia,Iran (Islamic Republic of),84982000,30M - 100M,2022-01-01
19,Europe,Western Europe,Germany,82592000,30M - 100M,2022-01-01
20,Asia,South-Eastern Asia,Thailand,69568000,30M - 100M,2022-01-01
21,Europe,Northern Europe,United Kingdom,68057000,30M - 100M,2022-01-01
22,Africa,Eastern Africa,United Republic of Tanzania,66612000,30M - 100M,2022-01-01
23,Europe,Western Europe,France,66182000,30M - 100M,2022-01-01
24,Africa,Southern Africa,South Africa,59996000,30M - 100M,2022-01-01
25,Europe,Southern Europe,Italy,58937000,30M - 100M,2022-01-01
26,Africa,Eastern Africa,Kenya,56082000,30M - 100M,2022-01-01
27,Asia,South-Eastern Asia,Myanmar,55718000,30M - 100M,2022-01-01
28,Asia,Eastern Asia,Republic of Korea,51817000,30M - 100M,2022-01-01
29,Latin America and the Caribbean,South America,Colombia,50917000,30M - 100M,2022-01-01
